address,name,size,calls,called_by,decompiled
1000:c8b0,FUN_1000_c8b0,40,1,3,1
1000:c8d8,FUN_1000_c8d8,37,1,4,1
1000:c8fd,FUN_1000_c8fd,18,1,1,1
1000:c90f,FUN_1000_c90f,18,2,6,1
1000:c921,FUN_1000_c921,37,2,2,1
1000:c946,FUN_1000_c946,260,14,1,1
1000:ca4a,FUN_1000_ca4a,207,34,1,1
1000:cb19,FUN_1000_cb19,685,16,1,1
1000:cdc6,FUN_1000_cdc6,21,2,1,1
1000:cddb,FUN_1000_cddb,21,2,1,1
1000:cdf0,FUN_1000_cdf0,1045,16,1,1
1000:d205,FUN_1000_d205,597,20,1,1
1000:d45a,FUN_1000_d45a,1453,17,1,1
1000:da07,FUN_1000_da07,340,13,1,1
1000:db5b,FUN_1000_db5b,608,14,1,1
1000:ddbb,FUN_1000_ddbb,892,17,1,1
1000:e137,FUN_1000_e137,516,24,1,1
1000:e33b,FUN_1000_e33b,21,2,1,1
1000:e350,FUN_1000_e350,21,2,1,1
1000:e365,FUN_1000_e365,55,2,1,1
